Manufacturer,Model,BIOS,BIOSReleaseDate,
Dell,PowerEdge R740,1.4.8,6/27/2018,
Dell,PowerEdge R740XD,1.4.8,6/27/2018,
Dell,PowerEdge R640,1.4.8,6/27/2018,
Dell,PowerEdge R940,1.4.8,6/27/2018,
Dell,PowerEdge R540,1.4.8,6/27/2018,
Dell,PowerEdge R440,1.4.8,6/27/2018,
Dell,PowerEdge M640,1.4.8,6/27/2018,
Dell,PowerEdge M640P,1.4.8,6/27/2018,
Dell,PowerEdge R830,1.8.0,6/14/2018,
Dell,PowerEdge R930,2.5.2,6/12/2018,
Dell,PowerEdge R730,2.8.0,6/12/2018,
Dell,PowerEdge R730XD,2.8.0,6/12/2018,
Dell,PowerEdge R630,2.8.0,6/12/2018,
Dell,PowerEdge M630,2.8.0,6/12/2018,
Dell,PowerEdge M630P,2.8.0,6/12/2018,
Dell,PowerEdge M830,2.8.0,6/12/2018,
Dell,PowerEdge M830P,2.8.0,6/12/2018,
Dell,PowerEdge R530,2.8.0,6/12/2018,
Dell,PowerEdge R430,2.8.0,6/12/2018,
Dell,PowerEdge R530XD,1.8.0,6/12/2018,
Dell,PowerEdge R920,1.8.0,6/29/2018,
Dell,PowerEdge R820,2.5.0,6/28/2018,
Dell,PowerEdge R520,2.6.0,6/28/2018,
Dell,PowerEdge R420,2.6.0,6/28/2018,
Dell,PowerEdge R320,2.6.0,6/28/2018,
Dell,PowerEdge R720,2.7.0,6/27/2018,
Dell,PowerEdge R720XD,2.7.0,6/27/2018,
Dell,PowerEdge R620,2.7.0,6/27/2018,
Dell,PowerEdge M820,2.7.0,6/27/2018,
Dell,PowerEdge M620,2.7.0,6/27/2018,
Dell,PowerEdge M520,2.7.0,6/27/2018,
Dell,PowerEdge M420,2.7.0,6/27/2018,
HP,ProLiant DL380 Gen10,1.42,6/20/2018,
HP,ProLiant DL360 Gen10,1.42,6/20/2018,
HP,ProLiant DL560 Gen10,1.42,6/20/2018,
HP,ProLiant DL580 Gen10,1.42,6/20/2018,
HP,ProLiant BL460c Gen10,1.42,6/20/2018,
HP,ProLiant ML350 Gen10,1.42,6/20/2018,
HP,ProLiant ML30 Gen9,2.60,5/21/2018,
HP,ProLiant ML350 Gen9,2.60,5/21/2018,
HP,ProLiant ML150 Gen9,2.60,5/21/2018,
HP,ProLiant ML110 Gen9,2.60,5/21/2018,
HP,ProLiant DL20 Gen9,2.60,5/21/2018,
HP,ProLiant DL60 Gen9,2.60,5/21/2018,
HP,ProLiant DL80 Gen9,2.60,5/21/2018,
HP,ProLiant DL160 Gen9,2.60,5/21/2018,
HP,ProLiant DL180 Gen9,2.60,5/21/2018,
HP,ProLiant DL560 Gen9,2.60,5/21/2018,
HP,ProLiant DL120 Gen9,2.60,5/21/2018,
HP,ProLiant DL380 Gen9,2.60,5/21/2018,
HP,ProLiant DL360 Gen9,2.60,5/21/2018,
HP,ProLiant BL460c Gen9,2.60,5/21/2018,
HP,ProLiant BL660c Gen9,2.60,5/21/2018,
HP,ProLiant DL580 Gen9,2.60,5/21/2018,
HP,ProLiant BL460c Gen8,I31,5/21/2018,
HP,ProLiant BL660c Gen8,I32,5/21/2018,
HP,ProLiant DL160 Gen8,J03,5/21/2018,
HP,ProLiant DL320e Gen8,J05,5/21/2018,
HP,ProLiant DL380p Gen8,P70,5/21/2018,
HP,ProLiant DL360p Gen8,P71,5/21/2018,
HP,ProLiant DL360e Gen8,P73,5/21/2018,
HP,ProLiant DL380e Gen8,P73,5/21/2018,
HP,ProLiant DL560 Gen8,P77,5/21/2018,
HP,ProLiant DL320e Gen8 v2,P80,5/21/2018,
HP,ProLiant DL580 Gen8,P79,5/21/2018,
HP,ProLiant ML350e Gen8,J02,5/21/2018,
HP,ProLiant ML350e Gen8 v2,J02,5/21/2018,
HP,ProLiant ML310e Gen8,J04,5/21/2018,
HP,ProLiant ML310e Gen8 v2,P78,5/21/2018,
HP,ProLiant ML350p Gen8,P72,5/21/2018,
